Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
103.8,1,1
107.4,1,1
110.2,1,1
112.4,1,1
114.8,1,1
117.0,1,1
119.2,1,1
120.8,1,1
122.9,1,1
125.1,1,1
126.7,1,1
128.3,1,1
130.0,1,1
131.4,1,1
133.3,1,1
135.3,1,1
137.9,1,1
140.1,1,1
141.8,1,1
143.4,1,1
