Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
100.8,1,1
101.5,1,1
102.0,1,1
102.8,1,1
103.7,1,1
105.4,1,1
107.5,1,1
109.5,1,1
111.0,1,1
112.3,1,1
114.0,1,1
116.0,1,1
118.0,1,1
120.2,1,1
122.5,1,1
125.2,1,1
127.4,1,1
129.4,1,1
130.7,1,1
130.8,1,1
