Value,Disaggregation combinations using this value,Number of indicators
100.0,2,1
100.2,1,1
100.5,1,1
94.6,1,1
95.1,1,1
95.7,1,1
96.2,1,1
96.8,1,1
97.5,1,1
98.5,1,1
98.9,1,1
99.0,1,1
99.4,1,1
99.5,2,1
99.6,2,1
99.7,1,1
99.8,2,1
