Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
100.8,2,1
100.9,1,1
101.2,1,1
102.2,1,1
103.6,1,1
105.4,1,1
105.8,1,1
106.7,1,1
108.0,1,1
109.5,1,1
110.9,1,1
112.2,1,1
113.0,1,1
114.0,1,1
114.6,1,1
115.2,1,1
115.4,1,1
115.7,1,1
115.9,1,1
