Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
101.0,1,1
101.5,1,1
101.9,1,1
102.7,1,1
103.8,1,1
105.0,1,1
106.5,1,1
108.2,1,1
109.9,1,1
111.7,1,1
113.4,1,1
114.9,1,1
116.5,1,1
118.2,1,1
119.8,1,1
120.8,1,1
122.3,1,1
123.4,1,1
123.7,1,1
124.6,1,1
