Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
100.1,1,1
100.2,1,1
100.3,1,1
100.7,1,1
101.0,1,1
101.1,1,1
101.6,1,1
102.5,1,1
103.5,1,1
104.7,1,1
106.0,1,1
107.0,1,1
108.0,1,1
108.3,1,1
109.1,1,1
110.8,1,1
112.9,1,1
114.7,1,1
115.1,1,1
115.7,1,1
