Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
100.1,1,1
100.3,3,1
100.5,2,1
100.7,1,1
101.2,1,1
101.7,1,1
101.9,1,1
102.2,1,1
102.3,1,1
102.6,1,1
102.7,1,1
102.8,1,1
102.9,1,1
103.0,2,1
103.9,1,1
105.6,1,1
