Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
100.2,3,1
100.3,1,1
100.4,1,1
100.6,1,1
101.0,1,1
101.2,1,1
101.5,1,1
101.8,1,1
102.6,1,1
104.1,1,1
105.7,1,1
106.8,1,1
107.8,1,1
108.3,1,1
108.5,1,1
96.9,1,1
98.3,1,1
99.8,1,1
