Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
100.7,1,1
101.4,1,1
102.0,1,1
103.6,1,1
104.3,1,1
105.1,1,1
105.8,1,1
106.0,1,1
108.4,1,1
108.7,1,1
109.0,1,1
109.6,1,1
110.3,1,1
111.3,1,1
112.2,1,1
113.1,1,1
113.9,1,1
114.7,1,1
115.4,1,1
115.7,1,1
