Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
100.4,1,1
100.5,1,1
100.8,2,1
101.1,1,1
101.3,1,1
101.6,1,1
101.8,1,1
102.1,1,1
102.3,1,1
102.5,1,1
102.6,1,1
103.2,1,1
103.5,1,1
103.9,1,1
104.3,1,1
104.5,1,1
104.8,1,1
105.0,1,1
105.3,1,1
