Value,Disaggregation combinations using this value,Number of indicators
100.0,1,1
100.9,1,1
101.5,1,1
102.1,1,1
102.7,1,1
103.7,1,1
105.2,1,1
106.9,1,1
108.7,1,1
110.7,1,1
112.7,1,1
114.7,1,1
116.7,1,1
118.6,1,1
120.6,1,1
122.4,1,1
124.5,1,1
126.6,1,1
128.6,1,1
130.4,1,1
131.2,1,1
